All,appliances,All 4000
1919.4856666667,175.319,1408.7968195719
86.986,86.986,63.8429357798
20.319,20.319,14.9130275229
20.319,20.319,14.9130275229
366.3312151462,323.656,268.8669468963
378.656,378.656,277.9126605505
123.649,123.649,90.751559633
86.986,86.986,63.8429357798
2486.986,2486.986,1825.3108256881
136.986,136.986,100.5401834862
210.319,210.319,154.3625688073
240.319,240.319,176.3809174312
428.659,428.659,314.6121100917
469.5641300089,436.986,344.6342238597
1961.6007966755,184.856,1439.7070067344
1855.6896666667,111.523,1361.9740672783
178.19,178.19,130.7816513761
111.523,111.523,81.8517431193
214.853,214.853,157.6902752294
443.19,443.19,325.2770642202
301.523,301.523,221.3012844037
174.856,174.856,128.3346788991
137.9728305154,111.523,101.2644627636
214.853,214.853,157.6902752294
392.276,392.276,287.9089908257
214.857,214.857,157.6932110092
132.699,132.699,97.3937614679
305.049,305.049,223.8891743119
386.712,386.712,283.8253211009
363.382,363.382,266.7023853211
2022.5456666667,278.379,1484.4371865444
150.913,150.913,110.7618348624
242.768,242.768,178.1783486239
162.402,162.402,119.1941284404
117.178,117.178,86.0022018349
171.603,171.603,125.9471559633
377.175,377.175,276.8256880734
520.515,520.515,382.0293577982
417.175,417.175,306.1834862385
395.796,395.796,290.4924770642
2099.0836666667,354.917,1540.6118654434
516.409,516.409,379.0157798165
491.049,491.049,360.4029357798
503.956,503.956,369.8759633028
405.9199957899,332.062,297.9229326898
278.656,278.656,204.5181651376
3481.6826666667,1737.516,2555.3634250765
1016.396,1016.396,745.9787155963
268.959,268.959,197.4011009174
220.516,220.516,161.8466055046
206.387,206.387,151.4766972477
384.458,384.458,282.1710091743
511.989,511.989,375.7717431193
356.671,356.671,261.7768807339
240.187,240.187,176.2840366972
63.101,63.101,46.3126605505
1873.9346666667,129.768,1375.3648929664
167.385,167.385,122.8513761468
363.649,363.649,266.8983486239
150.319,150.319,110.3258715596
150.319,150.319,110.3258715596
415.319,415.319,304.8212844037
378.649,378.649,277.9075229358
1946.1526666667,201.986,1428.3689296636
1961.1556666667,216.989,1439.3803058104
1478.0946232395,63.652,1084.840090451
524.1523333333,175.319,384.6989602446
714.1523333333,365.319,524.1485015291
193.649,193.649,142.127706422
130.319,130.319,95.6469724771
86.986,86.986,63.8429357798
86.986,86.986,63.8429357798
123.649,123.649,90.751559633
175.319,175.319,128.6744954128
231.982,231.982,170.2620183486
226.982,226.982,166.592293578
256.986,256.986,188.6135779817
20.319,20.319,14.9130275229
20.319,20.319,14.9130275229
93.652,93.652,68.735412844
248.649,248.649,182.4946788991
250.319,250.319,183.7203669725
83.652,83.652,61.3959633028
160.466,160.466,117.7732110092
326.016,326.016,239.2777981651
291.799,291.799,214.1644036697
342.686,342.686,251.5126605505
488.249,488.249,358.3478899083
251.036,251.036,184.2466055046
151.033,151.033,110.8499082569
307.169,307.169,225.4451376147
430.556,430.556,316.0044036697
366.8727049807,355.399,269.264370628
196.186,196.186,143.9897247706
404.519,404.519,296.8946788991
2289.3239469437,343.115,1680.2377592247
2072.2030849794,93.652,1520.88299815
1986.1526666667,241.986,1457.7267278288
3475.3696666667,1731.203,2550.7300305811
1221.302,1221.302,896.368440367
225.479,225.479,165.4891743119
130.319,130.319,95.6469724771
428.589,428.589,314.560733945
497.282,497.282,364.9776146789
200.432,200.432,147.1060550459
218.586,218.586,160.4300917431
151.919,151.919,111.5001834862
141.383,141.383,103.7673394495
324.764,324.764,238.3588990826
399.602,399.602,293.2858715596
208.692,208.692,153.168440367
385.589,385.589,283.0011009174
195.912,195.912,143.7886238532
3380.0426666667,1635.876,2480.7652599388
2211.989,2211.989,1623.4781651376
2181.989,2181.989,1601.4598165138
123.653,123.653,90.7544954128
20.319,20.319,14.9130275229
385.736,385.736,283.1089908257
241.986,241.986,177.6044036697
315.316,315.316,231.424587156
51.5309986976,20.319,37.8209164753
1797.8186666667,53.652,1319.4999388379
53.652,53.652,39.3776146789
93.652,93.652,68.735412844
351.986,351.986,258.3383486239
249.1724,249.1724,182.8788256881
534.402,534.402,392.2216513761
265.2330545239,204.862,194.6664620359
1892.7556666667,148.589,1389.178470948
247.912,247.912,181.9537614679
190.032,190.032,139.4730275229
393.686,393.686,288.943853211
395.476,395.476,290.2576146789
266.879,266.879,195.8744954128
180.301,180.301,132.3310091743
260.6649277627,220.162,191.3137084497
2117.6556666667,373.489,1554.2426911315
344.3804900834,293.651,252.756322997
329.955,329.955,242.1688073395
395.0821551392,318.769,289.9685542306
2030.7226666667,286.556,1490.4386544343
2053.2656666667,309.099,1506.9839755352
315.362,315.362,231.4583486239
591.509,591.509,434.1350458716
472.759,472.759,346.9790825688
485.433,485.433,356.2811009174
488.773,488.773,358.7324770642
330.43,330.43,242.5174311927
175.512,175.512,128.816146789
205.839,205.839,151.0744954128
309.172,309.172,226.9152293578
227.096,227.096,166.6759633028
193.767,193.767,142.2143119266
233.766,233.766,171.5713761468
77.023,77.023,56.5306422018
196.989,196.989,144.5790825688
468.656,468.656,343.967706422
146.989,146.989,107.8818348624
1781.3526666667,37.186,1307.4148012233
1844.4856666667,100.319,1353.7509480122
1920.9668105858,260.319,1409.8838976776
672.4823333333,323.649,493.5650152905
635.8123333333,286.979,466.6512538226
267.59,267.59,196.3963302752
330.923,330.923,242.879266055
390.92,390.92,286.9137614679
409.25,409.25,300.3669724771
369.253,369.253,271.0113761468
90.72,90.72,66.5834862385
53.652,53.652,39.3776146789
53.652,53.652,39.3776146789
86.986,86.986,63.8429357798
181.989,181.989,133.5699082569
211.989,211.989,155.5882568807
61.718,61.718,45.2976146789
197.59,197.59,145.0201834862
37.186,37.186,27.2924770642
123.649,123.649,90.751559633
175.319,175.319,128.6744954128
181.989,181.989,133.5699082569
133.837,133.837,98.2289908257
92.27,92.27,67.7211009174
284.732,284.732,208.9776146789
624.515077835,533.469,458.3596901541
343.469,343.469,252.0873394495
295.469,295.469,216.8579816514
264.802,264.802,194.3500917431
2002.3026666667,258.136,1469.5799388379
