Day-Ahead forecast [MW],Intraday forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp]
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
1.67,1.74,2.82,0.2,2501.53
36.27,17.23,47.14,13.65,2501.53
79.6,61.32,73.51,48.58,2501.53
122.54,129.41,109.67,102.96,2501.53
168.34,208.39,173.16,167.11,2501.53
210.71,296.03,229.47,240.05,2501.53
243.42,368.14,282.13,312.53,2501.53
273.07,445.6,366.93,382.73,2501.53
301.01,503.99,420.92,450.27,2501.53
328.52,568.15,513.18,500.35,2501.53
356.69,621.29,575.71,549.59,2501.53
385.99,662.14,622.47,582.15,2501.53
394.91,681.69,647.29,566.92,2501.53
405.55,697.4,595.71,534.95,2501.53
422.11,698.81,623.44,513.83,2501.53
445.12,698.16,547.75,524.57,2501.53
437.15,671.73,537.39,566.88,2501.53
432.86,641.5,550.88,600.27,2501.53
434.47,613.94,532.4,610.17,2501.53
437.18,585.83,594.64,578.53,2501.53
414.48,540.9,543.88,527.01,2501.53
391.28,498.49,496.38,504.99,2501.53
368.3,449.79,466.33,484.09,2501.53
345.42,402.26,420.15,405.03,2501.53
307.61,348.12,349.13,333.8,2501.53
272.95,303.09,302.62,282.28,2501.53
241.4,244.22,248.78,241.58,2501.53
209.91,192.8,216.39,207,2501.53
174.54,150.31,177.61,176.03,2501.53
134.76,107.86,141.65,130.33,2501.53
95.32,75.25,97.34,78.4,2501.53
52.99,41.1,58.89,35.22,2501.53
12.14,11.45,13.5,7.32,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
